CRASH REPORT NUMBER,CRASH DATE,CRASH YEAR,MONTH,DAY OF MONTH,DAY OF WEEK,TIME OF CRASH,HOUR OF CRASH,COUNTY,CRASH LOCATION (CITY OR RURAL),REPORTING AGENCY,STREET,STREET LOCATION,PRIMARY STREET,SECONDARY STREET,CRASH SEVERITY,CRASH CLASSIFICATION,CRASH ANALYSIS,HIGHEST CONTRIBUTING FACTOR TO CRASH,NUMBER OF PEOPLE IN CRASH,NUMBER OF PEOPLE KILLED,NUMBER OF PEOPLE WITH INCAPACITATING INJURIES,NUMBER OF PEOPLE WITH VISIBLE INJURIES,NUMBER OF PEOPLE WITH NON-VISIBLE INJURIES,NUMBER OF PEOPLE NOT INJURED,NUMBER OF VEHICLES INVOLVED,ALCOHOL INVOLVEMENT,DRUG INVOLVEMENT,PEDESTRIAN INVOLVEMENT,MOTORCYCLE INVOLVEMENT,PEDALCYCLE INVOLVEMENT,HEAVY TRUCK INVOLVEMENT,HAZARDOUS MATERIAL INVOLVEMENT,LIGHTING,WEATHER,HIT AND RUN CRASH,MAXIMUM VEHICLE DAMAGE,HIGHEST ENFORCEMENT ACTION,STATE HIGHWAY DEPT. PROPERTY,"ROAD SYSTEM--RURAL, URBAN, OR INTERSTATE",HIGHWAY ELEMENT,FIRST HARMFUL EVENT OCCURRED,ROAD CHARACTER,ROAD GRADE,DIRECTION OF VEHICLE WITH HIGHEST CONTRIBUTING FACTOR,DIRECTION FROM INTERSECTION,FEET FROM INTERSECTION,MILES FROM INTERSECTION,AMBULANCE NAME,UTM_X,UTM_Y,WGS_X,WGS_Y
322385,3/25/01,2001,March,25,Sunday,1903,19,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST NE,Injury Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Driver Inattention,5,0,0,0,2,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,,Appearance,CITATION,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,W,U,9998,0,AAS,354547.428826,3882520.734929,-106.5954,35.075
358086,9/13/01,2001,September,13,Thursday,723,7,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Driver Inattention,4,0,0,0,4,0,3,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Raining,,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,E,UNKNOWN OR N/A,0,0,AMB,354547.428826,3882520.734929,-106.5954,35.075
402229,11/25/01,2001,November,25,Sunday,2312,23,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Disregarded Traffic Signal,3,0,0,0,0,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,Yes,Disabling,NONE,,Urban,INTER. RELATED,On Roadway,CURVE,On Grade,W,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
357522,12/17/01,2001,December,17,Monday,828,8,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Following Too Closely,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Appearance,CITATION,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,W,EAST,50,0,,354547.428826,3882520.734929,-106.5954,35.075
403824,1/29/02,2002,January,29,Tuesday,1150,11,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST NE,Injury Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Speed Too Fast for Conditions,2,0,0,0,1,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,Yes,Functional,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,W,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
398166,2/19/02,2002,February,19,Tuesday,1112,11,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,3,0,0,0,0,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,S,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
101401026,8/15/02,2002,August,15,Thursday,1915,19,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,2,0,0,0,1,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,N,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
10019106,10/31/02,2002,October,31,Thursday,613,6,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Driver Inattention,4,0,0,0,4,0,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dawn,Clear,,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,E,UNKNOWN OR N/A,0,0,ALBQ AMB,354547.428826,3882520.734929,-106.5954,35.075
10105937,2/12/03,2003,February,12,Wednesday,1721,17,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Following Too Closely,3,0,0,0,1,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,CITATION,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,W,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
10011018,3/20/03,2003,March,20,Thursday,1713,17,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Following Too Closely,2,0,0,0,2,0,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Missing Data,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,W,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
10093695,6/1/03,2003,June,1,Sunday,2115,21,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Sideswipe Collision,Driver Inattention,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,Yes,Functional,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,E,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
10259007,8/13/03,2003,August,13,Wednesday,1328,13,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Failed to Yield Right of Way,8,0,0,0,0,8,3,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Dip,W,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
10107134,8/20/03,2003,August,20,Wednesday,1744,17,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Sideswipe Collision,Improper Lane Change,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,Yes,Appearance,NONE,,Urban,NON-INTERSECTION,On Roadway,CURVE,Level,W,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
10253198,1/29/04,2004,January,29,Thursday,2024,20,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - One Left Turn/Entering At Angle,Disregarded Traffic Signal,2,0,0,0,1,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,E,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
10258880,2/21/04,2004,February,21,Saturday,1600,16,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Rear End Collision,Alcohol/Drug Involved,5,0,0,0,0,5,3,Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,Yes,Appearance,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,W,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
10373933,4/16/04,2004,April,16,Friday,751,7,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Alcohol/Drug Involved,2,0,0,0,1,1,2,Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,S,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
10236376,7/23/04,2004,July,23,Friday,1100,11,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - From Opposite Direction/One Left Turn,Failed to Yield Right of Way,2,0,0,1,0,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,E,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
10338177,9/28/04,2004,September,28,Tuesday,150,1,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - From Opposite Direction/One Left Turn,Failed to Yield Right of Way,5,0,0,0,2,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,E,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
10377723,11/18/04,2004,November,18,Thursday,1450,14,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Rear End Collision,Excessive Speed,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,Yes,Missing Data,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,E,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
10425878,1/2/05,2005,January,2,Sunday,1135,11,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - One Left Turn/Entering At Angle,Disregarded Traffic Signal,3,0,0,0,1,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Raining,,Functional,NONE/NOT STATED,,Urban,INTERSECTION,On Roadway,CURVE,Level,E,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
10310390,3/21/05,2005,March,21,Monday,56,0,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Sideswipe Collision,Improper Lane Change,4,0,0,0,0,4,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,,Functional,CITATION,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,E,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
10396108,7/26/05,2005,July,26,Tuesday,1149,11,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - One Stopped/Entering At Angle,Disregarded Traffic Signal,3,0,0,0,0,3,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,W,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
22096372,12/21/05,2005,December,21,Wednesday,1538,15,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Opposite Direction/One Left Turn,Failed to Yield Right of Way,2,0,0,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,W,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
22007248,1/13/06,2006,January,13,Friday,1620,16,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Opposite Direction/One Left Turn,Failed to Yield Right of Way,4,0,0,0,0,4,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,E,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
22692810,5/14/06,2006,May,14,Sunday,147,1,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Alcohol/Drug Involved,3,0,0,0,1,2,2,Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,,Disabling,BOOKED,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,S,UNKNOWN OR N/A,0,0,UK,354547.428826,3882520.734929,-106.5954,35.075
22610898,6/13/06,2006,June,13,Tuesday,1700,17,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/Vehicle Backing,Disregarded Traffic Signal,3,0,0,0,0,3,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Appearance,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,S,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
22715706,6/25/06,2006,June,25,Sunday,1845,18,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - From Same Direction/Both Going Straight,Driver Inattention,2,0,0,0,1,1,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Raining,Yes,Disabling,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,W,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
22696390,6/29/06,2006,June,29,Thursday,2031,20,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST NE,Injury Crash,Fixed Object,Fixed Object - Light Standard (Light Pole),Driver Inattention,3,0,0,0,1,2,1,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Raining,,Disabling,NONE,,Urban,NON-INTERSECTION,Off Roadway,STRAIGHT,Level,E,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
22719007,8/31/06,2006,August,31,Thursday,1200,12,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Driver Inattention,3,0,0,0,0,3,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Appearance,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,S,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
22719074,9/14/06,2006,September,14,Thursday,115,1,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Left Turn,Driver Inattention,2,0,0,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Raining,Yes,Missing Data,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,S,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
22722108,10/28/06,2006,October,28,Saturday,1610,16,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Left Turn,Improper Lane Change,2,0,0,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Appearance,CITATION,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,W,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
22773683,3/19/07,2007,March,19,Monday,1940,19,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Fixed Object,Fixed Object - Sign or Sign Post (Traffic),Driver Inattention,1,0,0,0,0,1,1,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,,Functional,CITATION,,Urban,NON-INTERSECTION,Off Roadway,STRAIGHT,Level,E,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
22696961,6/23/07,2007,June,23,Saturday,1325,13,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,2,0,0,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,N,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
22101694,8/10/07,2007,August,10,Friday,1344,13,BERNALILLO,ALBUQUERQUE,OTHER CITY POLICE,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Driver Inattention,3,0,1,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,Yes,Missing Data,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,W,U,9998,0,EMS 3,354547.428826,3882520.734929,-106.5954,35.075
22602376,9/3/07,2007,September,3,Monday,1515,15,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - One Left Turn/Entering At Angle,Disregarded Traffic Signal,2,0,0,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,Yes,Disabling,NONE,,Urban,INTERSECTION,On Roadway,CURVE,On Grade,E,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
22599447,5/25/08,2008,May,25,Sunday,121,1,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Fixed Object,Fixed Object - Median Raised Or Curb,Alcohol/Drug Involved,1,0,0,0,0,1,1,Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,Yes,Disabling,NONE,,Urban,NON-INTERSECTION,Off Roadway,CURVE,Hillcrest,E,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
23057159,5/31/08,2008,May,31,Saturday,1800,18,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Failed to Yield Right of Way,2,0,0,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,Yes,Functional,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,E,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
70008172,12/14/08,2008,December,14,Sunday,1241,12,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON PL NE,Injury Crash,Other Vehicle,Non-Intersection - From Same Direction/Sideswipe Collision,Driver Inattention,5,0,0,0,1,4,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,CITATION,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,E,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
23099021,2/12/09,2009,February,12,Thursday,1442,14,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST NE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Driver Inattention,4,0,0,0,0,4,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Functional,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,E,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
23096012,2/26/09,2009,February,26,Thursday,1503,15,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON PL NE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,3,0,0,0,2,1,3,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,E,UNKNOWN OR N/A,0,0,11,354547.428826,3882520.734929,-106.5954,35.075
23154846,6/30/09,2009,June,30,Tuesday,711,7,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST NE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Driver Inattention,2,0,0,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Missing Data,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,S,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
710041120,11/30/09,2009,November,30,Monday,832,8,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Driver Inattention,4,0,0,0,1,3,3,Not Involved,Not Involved,Not Involved,Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Disabling,CITATION,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,W,EAST,50,0,,354547.428826,3882520.734929,-106.5954,35.075
23219560,3/24/10,2010,March,24,Wednesday,930,9,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/Both Going Straight,Following Too Closely,2,0,0,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Snowing,Yes,Functional,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,E,U,9998,0,,354545.258002,3882294.1605,-106.595,35.0729
710002654,4/21/10,2010,April,21,Wednesday,1644,16,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Rear End Collision,Driver Inattention,2,0,0,0,0,2,2,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,,Appearance,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,W,U,9998,0,,354545.258002,3882294.1605,-106.595,35.0729
