,CRASH REPORT NUMBER,CRASH DATE,CRASH YEAR,MONTH,DAY OF MONTH,DAY OF WEEK,TIME OF CRASH,HOUR OF CRASH,COUNTY,CRASH LOCATION (CITY OR RURAL),REPORTING AGENCY,STREET,STREET LOCATION,PRIMARY STREET,SECONDARY STREET,CRASH SEVERITY,CRASH CLASSIFICATION,CRASH ANALYSIS,HIGHEST CONTRIBUTING FACTOR TO CRASH,NUMBER OF PEOPLE IN CRASH,NUMBER OF PEOPLE KILLED,NUMBER OF PEOPLE WITH INCAPACITATING INJURIES,NUMBER OF PEOPLE WITH VISIBLE INJURIES,NUMBER OF PEOPLE WITH NON-VISIBLE INJURIES,NUMBER OF PEOPLE NOT INJURED,NUMBER OF VEHICLES INVOLVED,ALCOHOL INVOLVEMENT,DRUG INVOLVEMENT,PEDESTRIAN INVOLVEMENT,MOTORCYCLE INVOLVEMENT,PEDALCYCLE INVOLVEMENT,HEAVY TRUCK INVOLVEMENT,HAZARDOUS MATERIAL INVOLVEMENT,LIGHTING,WEATHER,HIT AND RUN CRASH,MAXIMUM VEHICLE DAMAGE,HIGHEST ENFORCEMENT ACTION,STATE HIGHWAY DEPT. PROPERTY,"ROAD SYSTEM--RURAL, URBAN, OR INTERSTATE",HIGHWAY ELEMENT,FIRST HARMFUL EVENT OCCURRED,ROAD CHARACTER,ROAD GRADE,DIRECTION OF VEHICLE WITH HIGHEST CONTRIBUTING FACTOR,DIRECTION FROM INTERSECTION,FEET FROM INTERSECTION,MILES FROM INTERSECTION,AMBULANCE NAME,UTM_X,UTM_Y,WGS_X,WGS_Y,MERGED STREETS
1011,877849,3/19/98,1998,March,19,Thursday,1315,13,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,BUENA VISTA DR SE,LEAD AVE SE,Injury Crash,Other Vehicle,Intersection - From Opposite Direction/One Left Turn,Failed to Yield Right of Way,2,0,0,0,2,0,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,ALB AMB,,,-106.624,35.078,"BUENA VISTA DR SE, LEAD AVE SE"
1012,862042,3/21/98,1998,March,21,Saturday,1505,15,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - From Same Direction/Both Going Straight,Excessive Speed,2,0,1,0,0,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,Yes,Functional,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,AMB,,,-106.5954,35.075,"LEAD AVE SE, WASHINGTON ST SE"
1013,760631,3/29/98,1998,March,29,Sunday,1329,13,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,HIGH ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Left Turn,Failed to Yield Right of Way,6,0,0,0,0,6,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Snowing,No,Appearance,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,On Grade,,UNKNOWN OR N/A,0,0,,,,-106.6404,35.0801,"LEAD AVE SE, HIGH ST SE"
1014,613514,3/30/98,1998,March,30,Monday,1106,11,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,EDITH BLVD SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Passed Stop Sign,6,0,2,0,1,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,On Grade,,UNKNOWN OR N/A,0,0,AMB,,,-106.643,35.0804,"LEAD AVE SE, EDITH BLVD SE"
1015,878169,3/31/98,1998,March,31,Tuesday,710,7,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,LOCUST ST NE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Failed to Yield Right of Way,2,0,0,0,1,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,,,"LEAD AVE SE, LOCUST ST NE"
1016,861747,4/4/98,1998,April,4,Saturday,1558,15,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,COLUMBIA DR SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,Yes,Appearance,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.617,35.0773,"LEAD AVE SE, COLUMBIA DR SE"
1017,674420,4/5/98,1998,April,5,Sunday,1951,19,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,BROADWAY BLVD SE,LEAD AVE SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Alcohol/Drug Involved,3,0,0,0,1,2,2,Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,No,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.6452,35.0807,"BROADWAY BLVD SE, LEAD AVE SE"
1018,557632,4/5/98,1998,April,5,Sunday,2244,22,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,GIRARD BLVD SE,LEAD AVE SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,None,3,0,1,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Not Lighted,Clear,No,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,On Grade,,UNKNOWN OR N/A,0,0,ALB AMB,,,-106.6133,35.0773,"GIRARD BLVD SE, LEAD AVE SE"
1019,866479,4/7/98,1998,April,7,Tuesday,1352,13,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,VASSAR DR SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Failed to Yield Right of Way,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.6146,35.0773,"LEAD AVE SE, VASSAR DR SE"
1020,866147,4/9/98,1998,April,9,Thursday,944,9,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,VASSAR DR SE,Injury Crash,Other Vehicle,Intersection - From Same Direction/Both Going Straight,Driver Inattention,5,0,0,0,2,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,,EAST,40,0,,,,-106.6146,35.0773,"LEAD AVE SE, VASSAR DR SE"
1021,877205,4/10/98,1998,April,10,Friday,1430,14,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,CEDAR ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Right Turn,None,3,0,0,0,0,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.634,35.0793,"LEAD AVE SE, CEDAR ST SE"
1022,869617,4/13/98,1998,April,13,Monday,1205,12,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,ASH ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/Both Going Straight,Driver Inattention,4,0,0,0,0,4,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,CITATION,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,,EAST,25,0,,,,-106.63,35.0787,"LEAD AVE SE, ASH ST SE"
1023,501021,4/15/98,1998,April,15,Wednesday,1515,15,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,UNIVERSITY BLVD SE,LEAD AVE SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Other - No Driver Error,2,0,0,0,1,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,ALB AMB,,,-106.6274,35.0784,"UNIVERSITY BLVD SE, LEAD AVE SE"
1024,861634,4/15/98,1998,April,15,Wednesday,2300,23,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,MORNINGSIDE DR SE,Injury Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Driver Inattention,2,0,1,0,0,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,Yes,Functional,NONE,,Urban,INTER. RELATED,On Roadway,CURVE,Level,,EAST,20,0,ALB AMB,,,-106.6,35.077,"LEAD AVE SE, MORNINGSIDE DR SE"
1025,748440,4/16/98,1998,April,16,Thursday,1135,11,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,BROADWAY BLVD SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,4,0,0,0,0,4,3,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.6452,35.0807,"LEAD AVE SE, BROADWAY BLVD SE"
1026,870214,4/18/98,1998,April,18,Saturday,1740,17,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,UNIVERSITY BLVD SE,LEAD AVE SE,Property Damage Only Crash,Other Vehicle,Intersection - From Opposite Direction/One Left Turn,Failed to Yield Right of Way,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.6274,35.0784,"UNIVERSITY BLVD SE, LEAD AVE SE"
1027,869761,4/19/98,1998,April,19,Sunday,1900,19,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,PRIMARY,LEAD AVE SE,RICHMOND DR SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Passed Stop Sign,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.6108,35.0773,"LEAD AVE SE, RICHMOND DR SE"
1028,733855,4/20/98,1998,April,20,Monday,954,9,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,BROADWAY BLVD SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Right Turn,Made Improper Turn,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.6452,35.0807,"LEAD AVE SE, BROADWAY BLVD SE"
1029,674956,4/21/98,1998,April,21,Tuesday,2224,22,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,BROADWAY BLVD SE,LEAD AVE SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Alcohol/Drug Involved,5,0,0,0,0,5,3,Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,No,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.6452,35.0807,"BROADWAY BLVD SE, LEAD AVE SE"
1030,861937,4/21/98,1998,April,21,Tuesday,1830,18,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,GIRARD BLVD SE,LEAD AVE SE,Property Damage Only Crash,Parked Vehicle,Vehicle Parked in Proper Location,Other - No Driver Error,1,0,0,0,0,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Not Lighted,Clear,Yes,Appearance,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,,NORTH,300,0,,,,-106.6133,35.0773,"GIRARD BLVD SE, LEAD AVE SE"
1031,877256,4/22/98,1998,April,22,Wednesday,1558,15,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,BROADWAY BLVD SE,LEAD AVE SE,Injury Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Following Too Closely,3,0,0,0,1,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,CITATION,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,,SOUTH,120,0,,,,-106.6452,35.0807,"BROADWAY BLVD SE, LEAD AVE SE"
1032,866438,4/25/98,1998,April,25,Saturday,2100,21,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,SECONDARY,GIRARD BLVD SE,LEAD AVE SE,Injury Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Following Too Closely,2,0,0,0,1,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Raining,No,Appearance,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,,NORTH,10,0,,,,-106.6133,35.0773,"GIRARD BLVD SE, LEAD AVE SE"
1033,687963,5/2/98,1998,May,2,Saturday,1605,16,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,SYCAMORE ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Left Turn,Following Too Closely,3,0,0,0,0,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.6321,35.079,"LEAD AVE SE, SYCAMORE ST SE"
1034,792257,5/4/98,1998,May,4,Monday,1000,10,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,PRIMARY,LEAD AVE SE,OAK ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Following Too Closely,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Disabling,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,On Grade,,EAST,20,0,,,,-106.6368,35.0796,"LEAD AVE SE, OAK ST SE"
1035,869915,5/4/98,1998,May,4,Monday,1015,10,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,OAK ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Improper Lane Change,3,0,0,0,0,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,CITATION,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,,EAST,18,0,,,,-106.6368,35.0796,"LEAD AVE SE, OAK ST SE"
1036,862041,5/9/98,1998,May,9,Saturday,1659,16,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,UNIVERSITY BLVD SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Left Turn,Made Improper Turn,3,0,0,0,0,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,On Grade,,UNKNOWN OR N/A,0,0,,,,-106.6274,35.0784,"LEAD AVE SE, UNIVERSITY BLVD SE"
1037,865455,5/12/98,1998,May,12,Tuesday,1924,19,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,VASSAR DR SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Failed to Yield Right of Way,3,0,0,0,0,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.6146,35.0773,"LEAD AVE SE, VASSAR DR SE"
1038,758770,5/14/98,1998,May,14,Thursday,1717,17,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,PRINCETON DR SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Failed to Yield Right of Way,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,On Grade,,UNKNOWN OR N/A,0,0,,,,-106.6158,35.0773,"LEAD AVE SE, PRINCETON DR SE"
1039,661591,5/15/98,1998,May,15,Friday,1026,10,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,UNIVERSITY BLVD SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Following Too Closely,3,0,0,0,0,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,,EAST,10,0,,,,-106.6274,35.0784,"LEAD AVE SE, UNIVERSITY BLVD SE"
1040,674959,5/16/98,1998,May,16,Saturday,2103,21,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,WALTER ST SE,Injury Crash,Other Vehicle,Intersection - One Left Turn/Entering At Angle,Made Improper Turn,3,0,0,0,3,0,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,No,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.6416,35.0802,"LEAD AVE SE, WALTER ST SE"
1041,613462,5/22/98,1998,May,22,Friday,1720,17,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,DARTMOUTH DR SE,Injury Crash,Other Vehicle,Non-Intersection - One Vehicle/Stopped Traffic,Following Too Closely,4,0,0,0,1,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,,U,9998,0,,,,-106.612,35.0773,"LEAD AVE SE, DARTMOUTH DR SE"
1042,877165,5/28/98,1998,May,28,Thursday,1612,16,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,OAK ST SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,4,0,0,4,0,0,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,AAS,,,-106.6368,35.0796,"LEAD AVE SE, OAK ST SE"
1043,868452,6/1/98,1998,June,1,Monday,128,1,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,EDITH BLVD SE,LEAD AVE SE,Property Damage Only Crash,Fixed Object,Fixed Object - Median Raised Or Curb,Alcohol/Drug Involved,1,0,0,0,0,1,3,Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,Yes,Disabling,CITATION,,Urban,NON-INTERSECTION,Off Roadway,STRAIGHT,Level,,U,9998,0,,,,-106.6428,35.0804,"EDITH BLVD SE, LEAD AVE SE"
1044,758698,6/3/98,1998,June,3,Wednesday,842,8,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,SPRUCE ST SE,LEAD AVE SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Driver Inattention,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,,NORTH,10,0,,,,,,"SPRUCE ST SE, LEAD AVE SE"
1045,561853,6/9/98,1998,June,9,Tuesday,1630,16,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,PRIMARY,LEAD AVE SE,ELM ST SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Rear End Collision,Disregarded Traffic Signal,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,On Grade,,U,9998,0,,,,-106.6392,35.0799,"LEAD AVE SE, ELM ST SE"
1046,870234,6/10/98,1998,June,10,Wednesday,2018,20,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,MONTCLAIRE DR SE,LEAD AVE SE,Injury Crash,Parked Vehicle,Vehicle Parked in Proper Location,Alcohol/Drug Involved,1,0,0,1,0,0,2,Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Raining,No,Disabling,BOOKED,,Urban,NON-INTERSECTION,Off Roadway,STRAIGHT,Level,,SOUTH,100,0,ALB AMB,,,,,"MONTCLAIRE DR SE, LEAD AVE SE"
1047,674908,6/13/98,1998,June,13,Saturday,525,5,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,BROADWAY BLVD SE,LEAD AVE SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Driver Inattention,3,0,0,0,0,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dawn,Clear,Yes,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.6452,35.0807,"BROADWAY BLVD SE, LEAD AVE SE"
1048,110049,6/17/98,1998,June,17,Wednesday,1609,16,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,UNIVERISTY BLVD SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Inadequate Brakes,2,0,0,0,2,0,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.627,35.0784,"LEAD AVE SE, UNIVERISTY BLVD SE"
1049,110050,6/19/98,1998,June,19,Friday,1914,19,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,UNIVERISTY BLVD SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,2,0,0,0,1,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.627,35.0784,"LEAD AVE SE, UNIVERISTY BLVD SE"
1050,110053,6/21/98,1998,June,21,Sunday,750,7,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,MESA DR SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Failed to Yield Right of Way,4,0,0,0,0,4,3,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,On Grade,,UNKNOWN OR N/A,0,0,,,,,,"LEAD AVE SE, MESA DR SE"
1051,781713,6/24/98,1998,June,24,Wednesday,1209,12,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,BROADWAY BLVD SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,4,0,0,0,3,1,3,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,AMB,,,-106.6452,35.0807,"LEAD AVE SE, BROADWAY BLVD SE"
1052,775351,6/25/98,1998,June,25,Thursday,1345,13,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,SYCAMORE ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Left Turn,Made Improper Turn,3,0,0,0,0,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.6321,35.079,"LEAD AVE SE, SYCAMORE ST SE"
1053,758537,6/25/98,1998,June,25,Thursday,2235,22,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,WELLESLEY DR SE,Injury Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Driver Inattention,2,0,0,1,1,0,2,Not Involved,,Not Involved,Involved,Not Involved,Not Involved,Not Involved,Dark-Not Lighted,Clear,No,Appearance,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,On Grade,,U,9998,0,,,,-106.608,35.0773,"LEAD AVE SE, WELLESLEY DR SE"
